Tax Roll,Property Address,Sale Price,"Time-
adjusted Sale Price",Title Transfer Date,Community,Property,Structure,Total Floor Area (sq.ft),Year Built
360800,193 ACACIA CR SE,"$342,000","$326,800",07/06/2016,Airdrie Meadows,Single Family,Bilevel,1176,1978
19400,9 ALDER CR SE,"$351,000","$335,400",07/14/2016,Airdrie Meadows,Single Family,Bungalow,1024,1977
714200,13 900 ALLEN ST SE,"$275,000","$249,600",08/19/2016,Airdrie Meadows,Condo,2 Storey,1263,1998
236100,201 700 ALLEN ST SE,"$200,000","$181,500",08/04/2016,Airdrie Meadows,Condo,2 Storey,1098,1980
384000,28 ARBOR CR SE,"$313,000","$298,500",08/29/2016,Airdrie Meadows,Single Family,Bungalow,1024,1977
288100,101 ALDER CR SE,"$336,000","$320,400",09/15/2016,Airdrie Meadows,Single Family,Split Level,1029,1977
182800,9 ASHWOOD GR SE,"$315,000","$300,400",09/27/2016,Airdrie Meadows,Single Family,Bungalow,974,1978
379000,421 ALBERT ST SE,"$344,000","$328,000",09/01/2016,Airdrie Meadows,Single Family,2 Storey,1406,1978
374500,16 ASPEN CR SE,"$342,000","$329,600",10/27/2016,Airdrie Meadows,Single Family,Bilevel,852,1978
103600,801 700 ALLEN ST SE,"$208,000","$189,800",10/03/2016,Airdrie Meadows,Condo,Bungalow,1087,1980
374100,216 ACACIA CR SE,"$315,000","$299,800",11/15/2016,Airdrie Meadows,Single Family,Split Level,1081,1978
76200,70 ASHWOOD RD SE,"$285,500","$271,700",11/09/2016,Airdrie Meadows,Duplex,2 Storey,1080,1978
101500,506 700 ALLEN ST SE,"$193,000","$177,500",01/10/2017,Airdrie Meadows,Condo,2 Storey,1098,1980
376100,603 700 ALLEN ST SE,"$188,500","$173,900",02/24/2017,Airdrie Meadows,Condo,2 Storey,1098,1980
714500,16 900 ALLEN ST SE,"$232,500","$215,000",03/22/2017,Airdrie Meadows,Condo,2 Storey,1249,1998
317900,149 ALPINE CR SE,"$320,000","$306,200",04/26/2017,Airdrie Meadows,Single Family,Bungalow,1007,1977
252700,112 ALPINE CR SE,"$298,000","$285,200",04/05/2017,Airdrie Meadows,Single Family,Bilevel,767,1977
442100,225 ACACIA CR SE,"$342,500","$327,800",05/16/2017,Airdrie Meadows,Single Family,2 Storey,1354,1978
259200,77 ASHWOOD RD SE,"$343,500","$328,700",05/31/2017,Airdrie Meadows,Single Family,Split Level,1180,1978
376200,137 ALDER CR SE,"$294,500","$281,800",05/16/2017,Airdrie Meadows,Single Family,Split Level,1029,1977
179100,510 500 ALLEN ST SE,"$183,000","$170,600",06/07/2017,Airdrie Meadows,Condo,2 Storey,1066,1979
171500,13 ASPEN CR SE,"$305,000","$290,000",07/29/2017,Airdrie Meadows,Single Family,Bilevel,767,1978
233400,44 ALDER CR SE,"$390,000","$370,800",07/31/2017,Airdrie Meadows,Single Family,Bilevel,992,1977
280000,805 700 ALLEN ST SE,"$192,500","$179,900",07/20/2017,Airdrie Meadows,Condo,Bungalow,1087,1980
225500,201 ACACIA CR SE,"$355,000","$337,500",07/07/2017,Airdrie Meadows,Single Family,Split Level,1081,1978
298300,124 ALPINE CR SE,"$371,000","$352,700",07/10/2017,Airdrie Meadows,Single Family,Bungalow,1119,1977
248900,209 ACACIA DR SE,"$358,000","$340,200",08/18/2017,Airdrie Meadows,Single Family,Bilevel,853,1978
713800,9 900 ALLEN ST SE,"$220,000","$206,200",08/21/2017,Airdrie Meadows,Condo,2 Storey,1249,1998
317100,109 ALPINE CR SE,"$340,000","$323,100",08/15/2017,Airdrie Meadows,Single Family,Bungalow,998,1977
418100,104 ALDER CR SE,"$338,000","$321,200",08/11/2017,Airdrie Meadows,Single Family,Bungalow,1149,1977
223400,704 700 ALLEN ST SE,"$194,000","$182,300",09/05/2017,Airdrie Meadows,Condo,2 Storey,1098,1980
209300,9 ASPEN CR SE,"$345,000","$328,700",09/14/2017,Airdrie Meadows,Single Family,Bungalow,951,1978
308800,68 ALPINE CR SE,"$395,000","$375,800",10/21/2017,Airdrie Meadows,Single Family,Bungalow,1007,1977
224900,604 700 ALLEN ST SE,"$165,000","$155,500",10/03/2017,Airdrie Meadows,Condo,2 Storey,1098,1980
220200,117 ASPEN CR SE,"$400,000","$380,500",10/14/2017,Airdrie Meadows,Single Family,Bilevel,1207,1978
142100,56 ASPEN CR SE,"$259,000","$246,400",10/18/2017,Airdrie Meadows,Duplex,2 Storey,997,1978
273800,62 ASPEN CR SE,"$254,250","$241,900",10/24/2017,Airdrie Meadows,Duplex,2 Storey,1078,1978
376100,603 700 ALLEN ST SE,"$187,000","$176,700",11/23/2017,Airdrie Meadows,Condo,2 Storey,1098,1980
312900,41 ASTER PL SE,"$309,000","$295,600",11/18/2017,Airdrie Meadows,Single Family,Bungalow,1183,1977
366200,511 500 ALLEN ST SE,"$164,700","$156,100",12/06/2017,Airdrie Meadows,Condo,2 Storey,1065,1979
302300,132 ASPEN CR SE,"$350,000","$338,700",12/18/2017,Airdrie Meadows,Single Family,Bungalow,951,1977
241000,420 ALBERT ST SE,"$299,000","$289,300",12/21/2017,Airdrie Meadows,Single Family,Split Level,1037,1977
216300,4 ALPINE CR SE,"$335,000","$320,100",03/21/2018,Airdrie Meadows,Single Family,Bilevel,924,1977
70700,72 ASPEN CR SE,"$265,000","$253,200",03/27/2018,Airdrie Meadows,Single Family,Bungalow,994,1977
387100,61 ASHWOOD GR SE,"$285,000","$274,200",04/20/2018,Airdrie Meadows,Single Family,Bilevel,936,1978
317200,21 ASHWOOD RD SE,"$349,000","$335,800",04/17/2018,Airdrie Meadows,Single Family,Split Level,1081,1978
158600,140 ALPINE CR SE,"$385,000","$370,400",04/25/2018,Airdrie Meadows,Single Family,Bilevel,1443,1977
204100,302 700 ALLEN ST SE,"$185,000","$177,700",05/16/2018,Airdrie Meadows,Condo,2 Storey,1098,1980
408700,109 ALDER CR SE,"$337,000","$325,700",06/06/2018,Airdrie Meadows,Single Family,Bungalow,951,1977
69600,420 ACACIA DR SE,"$328,000","$317,000",06/14/2018,Airdrie Meadows,Single Family,Bungalow,998,1978
390100,52 ASHWOOD RD SE,"$321,500","$312,200",08/10/2018,Airdrie Meadows,Single Family,Bilevel,926,1978
376500,203 700 ALLEN ST SE,"$179,000","$174,000",09/11/2018,Airdrie Meadows,Condo,2 Storey,1098,1980
135000,25 ASTER PL SE,"$421,500","$416,900",10/01/2018,Airdrie Meadows,Single Family,Split Level,1081,1977
209300,9 ASPEN CR SE,"$325,000","$321,400",10/23/2018,Airdrie Meadows,Single Family,Bungalow,951,1978
257800,56 ALPINE CR SE,"$360,000","$350,400",11/05/2018,Airdrie Meadows,Single Family,Bilevel,1207,1977
45100,627 600 ALLEN ST SE,"$193,000","$188,600",11/26/2018,Airdrie Meadows,Condo,2 Storey,1066,1980
142500,325 ALBERT ST SE,"$400,000","$389,400",11/08/2018,Airdrie Meadows,Single Family,Bungalow,974,1977
354900,17 ASTER PL SE,"$322,500","$319,000",12/04/2018,Airdrie Meadows,Single Family,Bungalow,974,1977
321200,504 500 ALLEN ST SE,"$167,500","$164,200",12/05/2018,Airdrie Meadows,Condo,2 Storey,1066,1979
189900,20 ASHWOOD RD SE,"$313,000","$310,800",01/21/2019,Airdrie Meadows,Single Family,Bilevel,922,1978
197400,29 ASTER PL SE,"$360,000","$356,800",02/14/2019,Airdrie Meadows,Single Family,Bungalow,1078,1977
128300,17 ALPINE CR SE,"$295,000","$292,300",02/25/2019,Airdrie Meadows,Single Family,Bungalow,974,1977
313000,803 700 ALLEN ST SE,"$175,000","$172,500",02/26/2019,Airdrie Meadows,Condo,Bungalow,872,1980
288300,413 ALBERT ST SE,"$408,000","$409,800",03/25/2019,Airdrie Meadows,Single Family,Split Level,1082,1977
234700,64 ASPEN CR SE,"$275,000","$275,700",04/01/2019,Airdrie Meadows,Duplex,Bilevel,879,1978
9800,609 600 ALLEN ST SE,"$185,500","$183,900",04/09/2019,Airdrie Meadows,Condo,2 Storey,1066,1980
300900,144 ALPINE CR SE,"$302,000","$302,700",04/24/2019,Airdrie Meadows,Single Family,Bungalow,1007,1977
303900,76 ALDER CR SE,"$327,000","$320,400",05/24/2019,Airdrie Meadows,Single Family,2 Storey,1406,1977
236200,24 ALDER CR SE,"$320,000","$321,100",06/10/2019,Airdrie Meadows,Single Family,Bilevel,853,1977
208500,96 ALDER CR SE,"$350,000","$351,200",06/19/2019,Airdrie Meadows,Single Family,2 Storey,1418,1977
850688,112 PINTO LN SE,"$834,500","$833,900",08/18/2016,Annexation,Single Family,2 Storey,1980,2002
850720,232 APPALOOSA LN SE,"$916,650","$886,000",01/17/2017,Annexation,Single Family,2 Storey,3111,2006
850754,205 FARRIES DR SE,"$675,000","$645,000",02/28/2017,Annexation,Single Family,Bungalow,2157,1999
850701,344 MUSTANG LN SE,"$929,000","$888,100",06/14/2017,Annexation,Single Family,2 Storey,2773,2004
850710,207 APPALOOSA LN SE,"$875,000","$867,100",07/17/2017,Annexation,Single Family,2 Storey,2886,2005
850731,270169 RGE RD 291 SE,"$667,500","$637,800",03/02/2018,Annexation,Single Family,Bungalow,1454,1974
850718,220 APPALOOSA LN SE,"$1,141,600","$1,098,400",04/17/2018,Annexation,Single Family,Bilevel,1980,2006
850798,107 CROXFORD ET NE,"$1,050,000","$1,005,800",05/15/2018,Annexation,Single Family,Bungalow,2971,1980
850896,271196 RGE RD 13 NW,"$905,000","$866,900",05/31/2018,Annexation,Single Family,2 Storey,2285,1993
850678,139 PINTO LN SE,"$1,173,000","$1,133,800",06/16/2018,Annexation,Single Family,2 Storey,2594,2003
850659,19 DRY CREEK BA SW,"$715,000","$686,600",09/26/2018,Annexation,Single Family,Split Level,1615,1976
850719,228 APPALOOSA LN SE,"$790,000","$774,100",05/13/2019,Annexation,Single Family,2 Storey,1980,2004
850814,32 HAMILTON GR NE,"$855,000","$857,900",06/20/2019,Annexation,Single Family,Bungalow,1549,2000
853842,1342 BAYSIDE DR SW,"$502,134","$479,800",07/05/2016,Bayside,Single Family,Bungalow,1377,2014
820086,254 BAYSIDE PT SW,"$490,000","$468,200",07/06/2016,Bayside,Single Family,2 Storey,2144,2003
846982,6006 2370 BAYSIDE RD SW,"$315,000","$285,100",07/21/2016,Bayside,Condo,2 Storey,1386,2008
845023,1667 BAYWATER ST SW,"$332,000","$317,200",07/29/2016,Bayside,Single Family,2 Storey,1250,2010
846668,2209 BAYSIDE CI SW,"$626,155","$598,300",07/25/2016,Bayside,Single Family,2 Storey,2182,2015
854149,138 BAYWATER WY SW,"$420,500","$401,800",07/13/2016,Bayside,Single Family,2 Storey,1731,2015
853899,222 BAYSIDE LP SW,"$549,557","$550,900",07/13/2016,Bayside,Single Family,2 Storey,2222,2015
846973,4012 2370 BAYSIDE RD SW,"$325,000","$294,200",07/13/2016,Bayside,Condo,2 Storey,1386,2008
855890,504 1530 BAYSIDE AV SW,"$280,952","$254,300",07/12/2016,Bayside,Condo,2 Storey,1264,2015
853898,221 BAYSIDE LP SW,"$557,828","$533,000",07/15/2016,Bayside,Single Family,2 Storey,2417,2015
846794,1207 2370 BAYSIDE RD SW,"$210,000","$176,900",07/19/2016,Bayside,Apartment,Apartment,1000,2008
854142,1742 BAYWATER VW SW,"$455,000","$434,800",07/19/2016,Bayside,Single Family,2 Storey,1972,2015
854129,151 BAYWATER RI SW,"$549,406","$525,000",07/14/2016,Bayside,Single Family,2 Storey,2432,2015
853901,226 BAYSIDE LP SW,"$507,619","$484,100",08/22/2016,Bayside,Single Family,2 Storey,2266,2015
854144,1746 BAYWATER VW SW,"$495,000","$472,000",08/23/2016,Bayside,Single Family,2 Storey,2234,2015
853897,218 BAYSIDE LP SW,"$570,000","$543,600",08/27/2016,Bayside,Single Family,2 Storey,2504,2015
854124,131 BAYWATER RI SW,"$547,000","$521,600",08/27/2016,Bayside,Single Family,2 Storey,2432,2015
855893,601 1530 BAYSIDE AV SW,"$322,500","$292,700",08/26/2016,Bayside,Condo,2 Storey,1272,2014
854121,119 BAYWATER RI SW,"$505,000","$481,600",08/16/2016,Bayside,Single Family,2 Storey,1979,2015
857218,341 BAYSIDE CR SW,"$714,190","$747,600",08/09/2016,Bayside,Single Family,Bungalow,1502,2016
846746,2413 BAYSIDE CI SW,"$742,000","$707,600",08/31/2016,Bayside,Single Family,Bungalow,1545,2012
