,Tax Roll,Property Address,Sale Price,Time-adjusted Sale Price,2020_assessed_value_CAD,Title Transfer Date,Community,Property,Structure,Total Floor Area (sq.ft),Year Built,legal_desc,land_use,classifications,parcel_area (m2),year_built,finished_below_grade,garage,deck,veranda,fireplace,walkout_basement,lat,lon
0,360800,193 ACACIA CR SE,342000,326800,340000,07/06/2016,Airdrie Meadows,Single Family,Bi-Level,1176,1978,Plan: 7711277 Block/Unit: 22 Lot: 15,R1 Single Detached Residential District,Single Family Dwelling,502,1978,Yes,Yes,None,None,None,No,51.2856693,-114.0116394
1,360800,193 ACACIA CR SE,342000,326800,340000,07/06/2016,Airdrie Meadows,Single Family,Bi-Level,1176,1978,Plan: 7711277 Block/Unit: 22 Lot: 15,R1 Single Detached Residential District,Single Family Dwelling,502,1978,Yes,Yes,None,None,None,No,51.2856693,-114.0116394
2,19400,9 ALDER CR SE,351000,335400,324000,07/14/2016,Airdrie Meadows,Single Family,Bungalow,1024,1977,Plan: 7710734 Block/Unit: 10 Lot: 10,R1 Single Detached Residential District,Single Family Dwelling,449,1977,Yes,Yes,None,None,Yes,No,51.2894656,-114.0043172
3,19400,9 ALDER CR SE,351000,335400,324000,07/14/2016,Airdrie Meadows,Single Family,Bungalow,1024,1977,Plan: 7710734 Block/Unit: 10 Lot: 10,R1 Single Detached Residential District,Single Family Dwelling,449,1977,Yes,Yes,None,None,Yes,No,51.2894656,-114.0043172
4,714200,13 900 ALLEN ST SE,275000,249600,269000,08/19/2016,Airdrie Meadows,Condo,2 Storey,1263,1998,Plan: 9811335 Block/Unit: 13 Lot:,R2-T Townhouse Residential District,Condominium,179,1998,Yes,Yes,Yes,No,Yes,Yes,51.2849554,-114.0037089
5,714200,13 900 ALLEN ST SE,275000,249600,269000,08/19/2016,Airdrie Meadows,Condo,2 Storey,1263,1998,Plan: 9811335 Block/Unit: 13 Lot:,R2-T Townhouse Residential District,Condominium,179,1998,Yes,Yes,Yes,No,Yes,Yes,51.2849554,-114.0037089
6,236100,201 700 ALLEN ST SE,200000,181500,186000,08/04/2016,Airdrie Meadows,Condo,2 Storey,1098,1980,Plan: 8010020 Block/Unit: 7 Lot:,R2-T Townhouse Residential District,Condominium,294,1980,Yes,None,Yes,No,None,No,51.2865678,-114.0032048
7,236100,201 700 ALLEN ST SE,200000,181500,186000,08/04/2016,Airdrie Meadows,Condo,2 Storey,1098,1980,Plan: 8010020 Block/Unit: 7 Lot:,R2-T Townhouse Residential District,Condominium,294,1980,Yes,None,Yes,No,None,No,51.2865678,-114.0032048
8,384000,28 ARBOR CR SE,313000,298500,324000,08/29/2016,Airdrie Meadows,Single Family,Bungalow,1024,1977,Plan: 7710734 Block/Unit: 13 Lot: 25,R1 Single Detached Residential District,Single Family Dwelling,470,1977,Yes,Yes,None,None,None,No,51.2898504,-114.0116841
9,384000,28 ARBOR CR SE,313000,298500,324000,08/29/2016,Airdrie Meadows,Single Family,Bungalow,1024,1977,Plan: 7710734 Block/Unit: 13 Lot: 25,R1 Single Detached Residential District,Single Family Dwelling,470,1977,Yes,Yes,None,None,None,No,51.2898504,-114.0116841
10,288100,101 ALDER CR SE,336000,320400,326000,09/15/2016,Airdrie Meadows,Single Family,Split Level (no crawl),1029,1977,Plan: 7710734 Block/Unit: 10 Lot: 21,R1 Single Detached Residential District,Single Family Dwelling,468,1977,Yes,Yes,Yes,Yes,Yes,No,51.2890077,-114.005921
11,288100,101 ALDER CR SE,336000,320400,326000,09/15/2016,Airdrie Meadows,Single Family,Split Level (no crawl),1029,1977,Plan: 7710734 Block/Unit: 10 Lot: 21,R1 Single Detached Residential District,Single Family Dwelling,468,1977,Yes,Yes,Yes,Yes,Yes,No,51.2890077,-114.005921
12,182800,9 ASHWOOD GR SE,315000,300400,301000,09/27/2016,Airdrie Meadows,Single Family,Bungalow,974,1978,Plan: 7711277 Block/Unit: 16 Lot: 49,R1 Single Detached Residential District,Single Family Dwelling,393,1978,Yes,Yes,None,None,Yes,No,51.2878102,-114.0101836
13,182800,9 ASHWOOD GR SE,315000,300400,301000,09/27/2016,Airdrie Meadows,Single Family,Bungalow,974,1978,Plan: 7711277 Block/Unit: 16 Lot: 49,R1 Single Detached Residential District,Single Family Dwelling,393,1978,Yes,Yes,None,None,Yes,No,51.2878102,-114.0101836
14,379000,421 ALBERT ST SE,344000,328000,325000,09/01/2016,Airdrie Meadows,Single Family,2 Storey,1406,1978,Plan: 7710734 Block/Unit: 12 Lot: 19,R1 Single Detached Residential District,Single Family Dwelling,540,1978,Yes,Yes,Yes,No,None,No,51.2881761,-114.0115037
15,379000,421 ALBERT ST SE,344000,328000,325000,09/01/2016,Airdrie Meadows,Single Family,2 Storey,1406,1978,Plan: 7710734 Block/Unit: 12 Lot: 19,R1 Single Detached Residential District,Single Family Dwelling,540,1978,Yes,Yes,Yes,No,None,No,51.2881761,-114.0115037
16,374500,16 ASPEN CR SE,342000,329600,306000,10/27/2016,Airdrie Meadows,Single Family,Bi-Level,852,1978,Plan: 7711277 Block/Unit: 7 Lot: 130,R1 Single Detached Residential District,Single Family Dwelling,390,1978,Yes,Yes,Yes,No,Yes,No,51.28826,-114.004845
17,103600,801 700 ALLEN ST SE,208000,189800,222000,10/03/2016,Airdrie Meadows,Condo,Bungalow,1087,1980,Plan: 8010020 Block/Unit: 47 Lot:,R2-T Townhouse Residential District,Condominium,384,1980,None,None,None,None,None,No,51.286524,-114.0039946
18,374100,216 ACACIA CR SE,315000,299800,324000,11/15/2016,Airdrie Meadows,Single Family,Split Level (no crawl),1081,1978,Plan: 7711277 Block/Unit: 15 Lot: 8,R1 Single Detached Residential District,Single Family Dwelling,533,1978,None,Yes,Yes,No,Yes,No,51.2860572,-114.0104538
