Property Address,Tax Roll,legal_desc,assessed_value_CAD,land_use,classifications,parcel_area (m2),year_built,living_area_above_grade_ft2,bldg_desc,finished_below_grade,garage,deck,veranda,fireplace,walkout_basement
193 ACACIA CR SE,360800,Plan: 7711277 Block/Unit: 22 Lot: 15,340000,R1 Single Detached Residential District,Single Family Dwelling,502,1978,1176,Bi-Level,Yes,Yes,None,None,None,No
9 ALDER CR SE,19400,Plan: 7710734 Block/Unit: 10 Lot: 10,324000,R1 Single Detached Residential District,Single Family Dwelling,449,1977,1024,Bungalow,Yes,Yes,None,None,Yes,No
13 900 ALLEN ST SE,714200,Plan: 9811335 Block/Unit: 13 Lot:,269000,R2-T Townhouse Residential District,Condominium,179,1998,1263,2 Storey,Yes,Yes,Yes,No,Yes,Yes
201 700 ALLEN ST SE,236100,Plan: 8010020 Block/Unit: 7 Lot:,186000,R2-T Townhouse Residential District,Condominium,294,1980,1098,2 Storey,Yes,None,Yes,No,None,No
28 ARBOR CR SE,384000,Plan: 7710734 Block/Unit: 13 Lot: 25,324000,R1 Single Detached Residential District,Single Family Dwelling,470,1977,1024,Bungalow,Yes,Yes,None,None,None,No
101 ALDER CR SE,288100,Plan: 7710734 Block/Unit: 10 Lot: 21,326000,R1 Single Detached Residential District,Single Family Dwelling,468,1977,1029,Split Level (no crawl),Yes,Yes,Yes,Yes,Yes,No
9 ASHWOOD GR SE,182800,Plan: 7711277 Block/Unit: 16 Lot: 49,301000,R1 Single Detached Residential District,Single Family Dwelling,393,1978,974,Bungalow,Yes,Yes,None,None,Yes,No
421 ALBERT ST SE,379000,Plan: 7710734 Block/Unit: 12 Lot: 19,325000,R1 Single Detached Residential District,Single Family Dwelling,540,1978,1406,2 Storey,Yes,Yes,Yes,No,None,No
16 ASPEN CR SE,374500,Plan: 7711277 Block/Unit: 7 Lot: 130,306000,R1 Single Detached Residential District,Single Family Dwelling,390,1978,852,Bi-Level,Yes,Yes,Yes,No,Yes,No
801 700 ALLEN ST SE,103600,Plan: 8010020 Block/Unit: 47 Lot:,222000,R2-T Townhouse Residential District,Condominium,384,1980,1087,Bungalow,None,None,None,None,None,No
216 ACACIA CR SE,374100,Plan: 7711277 Block/Unit: 15 Lot: 8,324000,R1 Single Detached Residential District,Single Family Dwelling,533,1978,1081,Split Level (no crawl),None,Yes,Yes,No,Yes,No
70 ASHWOOD RD SE,76200,Plan: 7711277 Block/Unit: 7 Lot: 75B,230000,R2 Low Density Residential District,Duplex,450,1978,1080,2 Storey,Yes,None,Yes,No,None,No
506 700 ALLEN ST SE,101500,Plan: 8010020 Block/Unit: 31 Lot:,170000,R2-T Townhouse Residential District,Condominium,292,1980,1098,2 Storey,Yes,None,Yes,No,None,No
603 700 ALLEN ST SE,376100,Plan: 8010020 Block/Unit: 35 Lot:,173000,R2-T Townhouse Residential District,Condominium,292,1980,1098,2 Storey,None,None,None,None,None,No
16 900 ALLEN ST SE,714500,Plan: 9811335 Block/Unit: 16 Lot:,251000,R2-T Townhouse Residential District,Condominium,319,1998,1249,2 Storey,Yes,None,Yes,No,Yes,Yes
149 ALPINE CR SE,317900,Plan: 7710734 Block/Unit: 11 Lot: 27,332000,R1 Single Detached Residential District,Single Family Dwelling,536,1977,1007,Bungalow,Yes,Yes,Yes,No,Yes,No
112 ALPINE CR SE,252700,Plan: 7710734 Block/Unit: 7 Lot: 47,277000,R1 Single Detached Residential District,Single Family Dwelling,390,1977,767,Bi-Level,Yes,Yes,Yes,No,Yes,No
225 ACACIA CR SE,442100,Plan: 7711277 Block/Unit: 22 Lot: 7,364000,R1 Single Detached Residential District,Single Family Dwelling,728,1978,1354,2 Storey,Yes,Yes,Yes,No,Yes,No
77 ASHWOOD RD SE,259200,Plan: 7711277 Block/Unit: 16 Lot: 32,329000,R1 Single Detached Residential District,Single Family Dwelling,477,1978,1180,Split Level (no crawl),Yes,None,Yes,No,Yes,No
137 ALDER CR SE,376200,Plan: 7710734 Block/Unit: 10 Lot: 12,307000,R1 Single Detached Residential District,Single Family Dwelling,497,1977,1029,Split Level (no crawl),None,Yes,Yes,No,Yes,No
510 500 ALLEN ST SE,179100,Plan: 7911038 Block/Unit: 10 Lot:,167000,R2-T Townhouse Residential District,Condominium,287,1979,1066,2 Storey,None,None,Yes,No,None,No
13 ASPEN CR SE,171500,Plan: 7711277 Block/Unit: 18 Lot: 9,287000,R1 Single Detached Residential District,Single Family Dwelling,396,1978,767,Bi-Level,Yes,Yes,Yes,No,None,No
510 500 ALLEN ST SE,179100,Plan: 7911038 Block/Unit: 10 Lot:,167000,R2-T Townhouse Residential District,Condominium,287,1979,1066,2 Storey,None,None,Yes,No,None,No
13 ASPEN CR SE,171500,Plan: 7711277 Block/Unit: 18 Lot: 9,287000,R1 Single Detached Residential District,Single Family Dwelling,396,1978,767,Bi-Level,Yes,Yes,Yes,No,None,No
44 ALDER CR SE,233400,Plan: 7710734 Block/Unit: 7 Lot: 156,350000,R1 Single Detached Residential District,Single Family Dwelling,428,1977,992,Bi-Level,Yes,Yes,Yes,No,None,No
805 700 ALLEN ST SE,280000,Plan: 8010020 Block/Unit: 51 Lot:,217000,R2-T Townhouse Residential District,Condominium,384,1980,1087,Bungalow,Yes,None,None,None,None,No
201 ACACIA CR SE,225500,Plan: 7711277 Block/Unit: 22 Lot: 13,315000,R1 Single Detached Residential District,Single Family Dwelling,507,1978,1081,Split Level (no crawl),None,Yes,None,None,Yes,No
124 ALPINE CR SE,298300,Plan: 7710734 Block/Unit: 7 Lot: 50,338000,R1 Single Detached Residential District,Single Family Dwelling,507,1977,1119,Bungalow,Yes,Yes,None,None,Yes,No
209 ACACIA DR SE,248900,Plan: 7711277 Block/Unit: 15 Lot: 5,302000,R1 Single Detached Residential District,Single Family Dwelling,390,1978,853,Bi-Level,Yes,Yes,Yes,No,None,No
9 900 ALLEN ST SE,713800,Plan: 9811335 Block/Unit: 9 Lot:,242000,R2-T Townhouse Residential District,Condominium,140,1998,1249,2 Storey,Yes,None,Yes,No,None,Yes
109 ALPINE CR SE,317100,Plan: 7710734 Block/Unit: 11 Lot: 17,327000,R1 Single Detached Residential District,Single Family Dwelling,371,1977,998,Bungalow,Yes,Yes,Yes,No,Yes,No
104 ALDER CR SE,418100,Plan: 7710734 Block/Unit: 7 Lot: 142,345000,R1 Single Detached Residential District,Single Family Dwelling,468,1977,1149,Bungalow,Yes,Yes,None,None,None,No
704 700 ALLEN ST SE,223400,Plan: 8010020 Block/Unit: 43 Lot:,176000,R2-T Townhouse Residential District,Condominium,294,1980,1098,2 Storey,Yes,None,Yes,No,None,No
